ID	text	IsBiased	Coarse-Grained	Fine-Grained
0001_1000	有汗出無糧出？ 火神山醫院工人被拖糧	1	1,0	0,0,0,1,0,0,0
0001_1001	新型冠狀病毒肺炎一發不可收拾，湖北武漢更成重炎區，醫療體系接近崩潰，當地動員無數工人，以不足10日時間，興建火神山醫院，作為隔離醫院之用。	1	1,0	5,0,0,0,0,0,0
0001_1002	然而，醫院建成後，有工人卻反映未能收到應得的薪金。	0	0,0	0,0,0,0,0,0,0
0001_1003	昨日，內地傳媒到火神山醫院外的臨時地盤，有十多名正在做病房防水工程的工人透露，各人於上周五（14日）經判頭安排到來施工，當時還獲承諾薪金會按天計算，當日人工會於翌日收到，白天人工600元人民幣（下同‧約660港元），晚上人工則1,200元（約1,320港元）。	0	0,0	0,0,0,0,0,0,0
0001_1004	其中一名叫湯斌的工人表示，各人之前曾在雷神山醫院工作，後經一名辛姓判頭轉到火神山開工。	0	0,0	0,0,0,0,0,0,0
0001_1005	首天工作後，對方卻要大家等等消息，之後三天，每次追薪均收到此答案。	0	0,0	0,0,0,0,0,0,0
0001_1006	湯斌直言，對方再不給錢，明天是肯定不會再開工。	1	1,0	0,0,0,1,0,0,0
0001_1007	除收不到薪金，湯斌等人的口罩數量也遠達不到需求。	0	0,0	0,0,0,0,0,0,0
0001_1008	按照防護要求，在火神山醫院開工的工人需每4小時換一個口罩。	0	0,0	0,0,0,0,0,0,0
0001_1009	「一天就給我們發一個，又沒地方買，我們是想換，用甚麼換呢？」	1	1,0	0,0,0,1,0,0,0
0001_1010	湯斌又指，不僅口罩欠缺，就連礦泉水，自開工時才分發過一支，「上午在房頂掃雪，我的鞋都汗濕了，沒辦法，我自己去買了幾箱水」。	0	0,0	0,0,0,0,0,0,0
0001_1011	昨晚10時許，湯斌表示，自己與其他十多名工友正在加班，相信要直至凌晨兩時許才完成。	1	1,0	0,0,0,1,0,0,0
0001_1012	判頭曾承諾當晚即支付工資，但湯斌當時尚未收到任何消息。	0	0,0	0,0,0,0,0,0,0
0001_1013	直至今早，湯斌才表示已收到工資。	0	0,0	0,0,0,0,0,0,0
0001_1014	大家將繼續開工，但口罩和水的問題仍未解決。	0	0,0	0,0,0,0,0,0,0
0001_2000	武漢火神山醫院展現中國速度 但不包含付工資	1	1,0	0,1,0,2,0,0,0
0001_2001	為集中收治新型冠狀病毒肺炎患者，武漢日前在10日內迅速建成火神山醫院。	1	1,0	0,0,0,1,0,0,0
0001_2002	但近日卻一度傳出工人領不到工資、防護設備不足，凸顯了中國建築業存在已久的拖欠工資問題。	1	1,0	0,0,0,2,0,0,0
0001_2003	中國建築業多採層層分包，開發商將不同的項目轉給包工頭（承包商）承攬，再由包工頭自行招募工人完成。	0	0,0	0,0,0,0,0,0,0
0001_2004	這些工人多半是到城裡打工的農村人口，被稱為「農民工」。	1	1,0	0,1,0,0,0,0,0
0001_2005	由於許多包工頭和工人並未簽訂勞動契約，工人遭拖欠工資時往往求助無門。	1	1,0	1,0,0,2,0,0,0
0001_2006	在火神山醫院做病房防水工程的湯斌等10多名工人遲遲未拿到包工頭承諾的工資。	0	0,0	0,0,0,0,0,0,0
0001_2007	報導指出，湯斌等人14日經辛姓包工頭介紹，從雷神山醫院轉來火神山醫院施工，對方原先承諾，工資以日結算，白班日薪人民幣600元（約新台幣2582元），晚班1200元，當日工資隔日結算。	0	0,0	0,0,0,0,0,0,0
0001_2008	然而湯斌等人開工後，已經連續3天都沒領到工資。	0	0,0	0,0,0,0,0,0,0
0001_2009	此外，防護設備也不足，按照規定，在火神山醫院施工，每4小時需換一次口罩；但湯斌說，工人一天只分到一個，「又沒地方買，我們是想換，用什麼換呢」？	0	0,0	0,0,0,0,0,0,0
0001_2010	他也指出，工人穿著防護服工作，出汗量大，補充飲水非常重要；但施工以來，每個人卻只領到一瓶水，他只好自己去買了幾箱礦泉水。	0	0,0	0,0,0,0,0,0,0
0001_2011	在得到媒體關注後，報導指出，湯斌等人已在18日上午領到足額工資，但口罩、飲用水的問題依然沒解決。	0	0,0	0,0,0,0,0,0,0
0001_2012	18日網上也流傳一張通訊軟體微信（wechat）的對話截圖，內容表示，許多參與火神山醫院建設的工人堅決不領工資，「他們說，武漢現在這麼難，我們也想做些力所能及的事，提供吃喝已經很好了，工錢就不要了」。	1	0,1	0,0,0,0,0,2,0
0001_2013	有網友對這群工人表示讚賞和感動，但也有人不贊成，認為「道德綁架將會使得未來沒有多少人去繼續做事」。	1	0,1	0,0,0,0,2,1,0
